code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,doc_link,source_link
@Repeatable,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/misc/Annotations1.java#L24
@Target,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/misc/Annotations1.java#L14
@interface,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/misc/Annotations1.java#L15
API,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/lambda/Lambda3.java#L13
ArrayList,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,22,22,22,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/stream/Streams7.java#L3
CCC,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/stream/Streams1.java#L54
CET,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalDateTime1.java#L35
ChronoUnit.HOURS,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalTime1.java#L44
ChronoUnit.MINUTES,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalTime1.java#L45
Clock.systemDefaultZone(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalTime1.java#L21
Collections.sort,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/lambda/Lambda1.java#L17
Comparator,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/lambda/Lambda3.java#L3
Comparator<Person>,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/lambda/Lambda3.java#L63
CompletableFuture,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/concurrent/CompletableFuture1.java#L3
Consumer<Person>,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/lambda/Lambda3.java#L56
DECEMBER,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalDateTime1.java#L25
Date.from(instant),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalTime1.java#L26
DateTimeFormatter,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalTime1.java#L7
DayOfWeek,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/time/LocalDateTime1.java#L3
ElementType.TYPE_PARAMETER,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/misc/Annotations1.java#L14
ElementType.TYPE_USE,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/README.md,https://github.com/winterbe/java8-tutorial/blob/faf9793524cd6956428fa5d79e7fdce3a3184b56/src/com/winterbe/java8/samples/misc/Annotations1.java#L14
